StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID4_Browser,QID4_Version,QID4_Operating System,QID4_Resolution,Q2,Q3,ParticipantID,cwid,OkaConfirm
開始日,終了日,回答タイプ,IPアドレス,進行状況,時間（秒単位）,終了,記録日,回答ID,受信者の姓,受信者の名,受信者のメールアドレス,外部データ参照,位置の緯度,位置の経度,配信のチャンネル,ユーザーの言語,クリックして質問文を記述 - ブラウザー,クリックして質問文を記述 - バージョン,クリックして質問文を記述 - オペレーティングシステム,クリックして質問文を記述 - 解像度,確認のため、上記のパスワードを入力してください。,"あなたのクラウドワークスIDを半角英数字でお答えください。




CrowdWorksIDの確認方法

CrowdWorksのページ右上のユーザー名をクリック
「自分の公開ページを確認」をクリックし，マイページを表示
マイページのURLの下6桁?8桁の数字が、あなたのCrowdWorksIDです。

   例: https://crowdworks.jp/public/employees/1234567 → 1234567

    ※URLの「employees」の部分が「employer」になっている場合もあります。",ParticipantID,cwid,岡の確認結果
"{""ImportId"":""startDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_BROWSER""}","{""ImportId"":""QID4_VERSION""}","{""ImportId"":""QID4_OS""}","{""ImportId"":""QID4_RESOLUTION""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""ParticipantID""}","{""ImportId"":""cwid""}",岡の確認結果
2023/1/2 22:15,2023/1/2 22:15,IP Address,131.129.122.178,100,28,TRUE,2023/1/2 22:15,R_1FaWXWl2YxFyb1a,,,,,35.4638,133.0478,anonymous,JA,Chrome,108.0.0.0,Linux x86_64,1366x768,RO80686,275026,80686,275026,OK
2023/1/2 22:17,2023/1/2 22:18,IP Address,133.32.183.121,100,71,TRUE,2023/1/2 22:18,R_3fjBBDZv4NPm2Le,,,,,34.6947,135.5,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1280x1024,RO60141,138525,60141,138525,OK
2023/1/2 22:19,2023/1/2 22:19,IP Address,106.73.174.65,100,44,TRUE,2023/1/2 22:19,R_2OZ1gX6jWggBAuo,,,,,35.5142,140.104,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1200,RO58197,266202,58197,266202,OK
2023/1/2 22:19,2023/1/2 22:20,IP Address,114.157.152.165,100,59,TRUE,2023/1/2 22:20,R_1MQauZxQe4CD79N,,,,,26.256,127.6905,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO22401,4551146,22401,4551146,OK
2023/1/2 22:20,2023/1/2 22:20,IP Address,125.196.132.0,100,48,TRUE,2023/1/2 22:20,R_4V3mkO0c9cYM8i5,,,,,34.6922,135.1816,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1280x720,RO77658,297683,77658,297683,OK
2023/1/2 22:21,2023/1/2 22:21,IP Address,220.111.185.68,100,16,TRUE,2023/1/2 22:21,R_phDDHsFbkqyRKFz,,,,,31.5703,130.5315,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO51186,276409,51186,276409,OK
2023/1/2 22:21,2023/1/2 22:22,IP Address,219.175.250.8,100,52,TRUE,2023/1/2 22:22,R_3lDKq2EdBhlnhHM,,,,,35.5168,139.7253,anonymous,JA,Chrome,108.0.0.0,Windows NT 6.1,1366x768,RO36986,707767,36986,707767,OK
2023/1/2 22:22,2023/1/2 22:23,IP Address,133.32.179.94,100,36,TRUE,2023/1/2 22:23,R_3jSXdsgawiyWUTv,,,,,34.6947,135.5,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO89103,4660661,89103,4660661,OK
2023/1/2 22:22,2023/1/2 22:23,IP Address,58.5.198.76,100,54,TRUE,2023/1/2 22:23,R_1QE1weIBpeavHNC,,,,,35.6887,139.745,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1280x720,RO15689,4632782,15689,4632782,OK
2023/1/2 22:23,2023/1/2 22:23,IP Address,138.64.166.171,100,42,TRUE,2023/1/2 22:23,R_aadaOBb6KdSiQNz,,,,,34.6986,135.5079,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1147x860,RO90196,2942272,90196,2942272,OK
2023/1/2 22:23,2023/1/2 22:24,IP Address,117.108.14.143,100,23,TRUE,2023/1/2 22:24,R_bf5v40HgjEybH9v,,,,,34.6879,135.8144,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO56373,3043448,56373,3043448,OK
2023/1/2 22:23,2023/1/2 22:24,IP Address,121.81.223.71,100,63,TRUE,2023/1/2 22:24,R_2YqYDxXFMmznOQr,,,,,34.6946,135.5021,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO54619,2400065,54619,2400065,OK
2023/1/2 22:24,2023/1/2 22:25,IP Address,217.178.152.133,100,52,TRUE,2023/1/2 22:25,R_1ia5lAjhQq15dmA,,,,,35.6918,139.7002,anonymous,JA,Firefox,108,Windows NT 10.0,3072x1728,RO66634,1265342,66634,1265342,OK
2023/1/2 22:25,2023/1/2 22:26,IP Address,106.174.111.170,100,42,TRUE,2023/1/2 22:26,R_u3Y3JxVFmjR7BOp,,,,,35.6056,140.1237,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO15654,2613017,15654,2613017,OK
2023/1/2 22:25,2023/1/2 22:26,IP Address,202.12.244.27,100,31,TRUE,2023/1/2 22:26,R_3gYg7MwYyFPz2Rr,,,,,35.6893,139.6899,anonymous,JA,Chrome,108.0.0.0,Macintosh,1440x900,RO68270,3053783,68270,3053783,OK
2023/1/2 22:24,2023/1/2 22:26,IP Address,113.197.203.237,100,103,TRUE,2023/1/2 22:26,R_22tZ02BxkcV8otm,,,,,34.6838,135.5228,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO90702,3985308,90702,3985308,OK
2023/1/2 22:26,2023/1/2 22:26,IP Address,124.32.164.73,100,33,TRUE,2023/1/2 22:26,R_3pffvrDYo7xven4,,,,,35.6918,139.7002,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO54687,2227987,54687,2227987,OK
2023/1/2 22:25,2023/1/2 22:26,IP Address,123.225.205.5,100,59,TRUE,2023/1/2 22:26,R_3CoVSGQ7HgEsJsB,,,,,35.8292,139.6789,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,2560x1440,RO55535,1791041,55535,1791041,OK
2023/1/2 22:26,2023/1/2 22:26,IP Address,106.159.71.199,100,51,TRUE,2023/1/2 22:26,R_1LFPXy6XzcdiuBR,,,,,38.3141,140.9364,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1368x912,RO85949,5054908,85949,5054908,OK
2023/1/2 22:26,2023/1/2 22:27,IP Address,150.147.21.247,100,26,TRUE,2023/1/2 22:27,R_2TzPmPg1TCOqBo3,,,,,36.5968,136.5998,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO88194,3052369,88194,3052369,OK
2023/1/2 22:26,2023/1/2 22:27,IP Address,180.31.149.70,100,63,TRUE,2023/1/2 22:27,R_1hMxGJ1TSrKTsRg,,,,,35.6005,139.5867,anonymous,JA,Chrome,108.0.0.0,Macintosh,1920x1080,RO57364,4008717,57364,4008717,OK
2023/1/2 22:27,2023/1/2 22:27,IP Address,180.145.23.240,100,26,TRUE,2023/1/2 22:27,R_3qk6G3WyZg1xVle,,,,,34.6886,135.1959,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,2560x1440,RO45769,757433,45769,757433,OK
2023/1/2 22:27,2023/1/2 22:27,IP Address,220.109.47.164,100,23,TRUE,2023/1/2 22:27,R_3Jw02uYuF7URfV6,,,,,38.2676,140.87,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1280x1024,RO90454,1610899,90454,1610899,OK
2023/1/2 22:27,2023/1/2 22:28,IP Address,58.188.238.160,100,67,TRUE,2023/1/2 22:28,R_77Eu0gQaIKZjpUl,,,,,34.6886,135.1959,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1920x1080,RO14553,shisyou.lab,14553,shisyou.lab,OK
2023/1/2 22:28,2023/1/2 22:29,IP Address,133.106.136.31,100,44,TRUE,2023/1/2 22:29,R_2QDPfo1RP8AQqmM,,,,,35.6897,139.6895,anonymous,JA,Chrome,108.0.0.0,Windows NT 6.1,1366x768,RO91954,1896607,91954,1896607,OK
2023/1/2 22:29,2023/1/2 22:29,IP Address,81.23.223.118,100,20,TRUE,2023/1/2 22:29,R_2QM92ZZ1BL39mod,,,,,35.369,136.5358,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO96099,2259197,96099,2259197,OK
2023/1/2 22:28,2023/1/2 22:29,IP Address,182.166.108.37,100,41,TRUE,2023/1/2 22:29,R_3nAYlERt4epf0wY,,,,,34.6922,135.1816,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1368x912,RO52104,3059717,52104,3059717,OK
2023/1/2 22:29,2023/1/2 22:29,IP Address,126.157.210.33,100,24,TRUE,2023/1/2 22:29,R_vNzzBNfx3xZemQh,,,,,35.6897,139.6895,anonymous,JA,Chrome,89.0.4389.105,Linux x86_64,1280x800,RO12361,1589402,12361,1589402,OK
2023/1/2 22:28,2023/1/2 22:29,IP Address,118.7.167.136,100,72,TRUE,2023/1/2 22:29,R_uf8uE5qYkHpzI77,,,,,39.399,141.1831,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO14702,3693076,14702,3693076,OK
2023/1/2 22:29,2023/1/2 22:29,IP Address,106.73.4.96,100,41,TRUE,2023/1/2 22:29,R_1rBwSOv8D1YC7G1,,,,,35.4343,139.6466,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1536x864,RO35243,2258721,35243,2258721,OK
2023/1/2 22:30,2023/1/2 22:31,IP Address,153.205.218.246,100,17,TRUE,2023/1/2 22:31,R_3EEesyqpFgCRkIG,,,,,43.0763,141.3654,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO93474,2349425,93474,2349425,OK
2023/1/2 22:30,2023/1/2 22:31,IP Address,203.88.181.118,100,81,TRUE,2023/1/2 22:31,R_2EhsaQjF9q4J4qg,,,,,36.7135,137.227,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO91885,5138531,91885,5138531,OK
2023/1/2 22:31,2023/1/2 22:32,IP Address,133.106.79.38,100,36,TRUE,2023/1/2 22:32,R_3ktT6U2hFpANRSx,,,,,35.6897,139.6895,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO13171,3922243,13171,3922243,OK
2023/1/2 22:31,2023/1/2 22:32,IP Address,115.39.8.159,100,35,TRUE,2023/1/2 22:32,R_1GKvalD0rDWPINk,,,,,35.4349,136.6806,anonymous,JA,Firefox,108,Windows NT 10.0,1920x1080,RO27545,5063496,27545,5063496,OK
2023/1/2 22:32,2023/1/2 22:32,IP Address,60.117.144.159,100,21,TRUE,2023/1/2 22:32,R_3qevLuDPLUG9hDa,,,,,35.6143,140.1062,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO32963,2207845,32963,2207845,OK
2023/1/2 22:32,2023/1/2 22:32,IP Address,121.95.28.63,100,33,TRUE,2023/1/2 22:32,R_1HowrT3iA3t9Lf4,,,,,34.6886,135.1959,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1536x864,RO34362,1916814,34362,1916814,OK
2023/1/2 22:31,2023/1/2 22:33,IP Address,31.24.8.88,100,68,TRUE,2023/1/2 22:33,R_2TN8QbKLRHHRhnz,,,,,46.9633,7.4227,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1600x900,RO69950,1257626,69950,1257626,OK
2023/1/2 22:33,2023/1/2 22:34,IP Address,14.12.98.193,100,70,TRUE,2023/1/2 22:34,R_12fIQdLqfzBriH0,,,,,32.759,129.8802,anonymous,JA,Chrome,108.0.0.0,Linux x86_64,640x360,RO66009,95866,66009,95866,OK
2023/1/2 22:34,2023/1/2 22:34,IP Address,133.175.182.68,100,50,TRUE,2023/1/2 22:34,R_1rxBmOs4loNiPtO,,,,,34.6986,135.5079,anonymous,JA,Firefox,108,Windows NT 10.0,1366x768,RO32534,4421182,32534,4421182,OK
2023/1/2 22:34,2023/1/2 22:35,IP Address,64.63.69.133,100,52,TRUE,2023/1/2 22:35,R_RaEhQ0mQrToXffr,,,,,35.6641,138.5706,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO60284,1167092,60284,1167092,OK
2023/1/2 22:34,2023/1/2 22:35,IP Address,106.178.144.107,100,67,TRUE,2023/1/2 22:35,R_aW72YceZq2CXbBn,,,,,35.6893,139.6899,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1366x768,RO64135,4922243,64135,4922243,OK
2023/1/2 22:34,2023/1/2 22:35,IP Address,119.230.121.48,100,67,TRUE,2023/1/2 22:35,R_33gnlc58t8rSigG,,,,,34.6986,135.5079,anonymous,JA,Chrome,108.0.0.0,Windows NT 6.3,1360x768,RO11378,3954203,11378,3954203,OK
2023/1/2 22:34,2023/1/2 22:35,IP Address,122.217.240.183,100,72,TRUE,2023/1/2 22:35,R_PBPDcefQzqZguC5,,,,,35.7867,139.5859,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO99349,2511054,99349,2511054,OK
2023/1/2 22:35,2023/1/2 22:36,IP Address,126.122.50.116,100,21,TRUE,2023/1/2 22:36,R_12fNl6hW60M8EfV,,,,,34.6922,135.1816,anonymous,JA,Chrome,103.0.0.0,Windows NT 10.0,2560x1440,RO11036,519932,11036,519932,OK
2023/1/2 22:35,2023/1/2 22:36,IP Address,124.209.254.50,100,72,TRUE,2023/1/2 22:36,R_3qeQnfrZnKlqs9S,,,,,35.8566,139.9185,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO23079,2600289,23079,2600289,OK
2023/1/2 22:36,2023/1/2 22:37,IP Address,124.110.230.70,100,31,TRUE,2023/1/2 22:37,R_sIr0aGS3ODYuXrr,,,,,34.9702,138.3935,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO16747,2099674,16747,2099674,OK
2023/1/2 22:36,2023/1/2 22:37,IP Address,114.177.67.134,100,62,TRUE,2023/1/2 22:37,R_BD59KtGPXHikWpH,,,,,35.6143,140.1062,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1366x768,RO22708,149507,22708,149507,OK
2023/1/2 22:36,2023/1/2 22:37,IP Address,1.0.90.199,100,34,TRUE,2023/1/2 22:37,R_31hJV43U7LYir3P,,,,,35.4425,133.3314,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1280x720,RO61580,839571,61580,839571,OK
2023/1/2 22:37,2023/1/2 22:38,IP Address,219.173.131.11,100,49,TRUE,2023/1/2 22:38,R_22razpB9sfEI3Vp,,,,,40.8407,140.708,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO59435,1653083,59435,1653083,OK
2023/1/2 22:38,2023/1/2 22:39,IP Address,219.110.246.97,100,27,TRUE,2023/1/2 22:39,R_21h1z5tLLma0H9A,,,,,35.6419,139.7023,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1280x800,RO20150,819433,20150,819433,OK
2023/1/2 22:39,2023/1/2 22:39,IP Address,125.196.132.0,100,49,TRUE,2023/1/2 22:39,R_2sdUNzyorFqulsu,,,,,34.6922,135.1816,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1280x720,RO56099,1653418,56099,1653418,OK
2023/1/2 22:40,2023/1/2 22:40,IP Address,106.73.136.33,100,12,TRUE,2023/1/2 22:40,R_NXXchaxnRnfjF2F,,,,,35.6143,140.1062,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO16294,711720,16294,711720,OK
2023/1/2 22:39,2023/1/2 22:40,IP Address,150.66.85.51,100,65,TRUE,2023/1/2 22:40,R_330WdkyLhMYcx8M,,,,,35.6897,139.6895,anonymous,JA,Chrome,108.0.0.0,Linux x86_64,1920x1080,RO68466,2912766,68466,2912766,OK
2023/1/2 22:43,2023/1/2 22:45,IP Address,110.130.177.73,100,105,TRUE,2023/1/2 22:45,R_2zjTYLrDvij5GVR,,,,,35.5089,139.4327,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1436x808,RO77144,2159548,77144,2159548,OK
2023/1/2 22:44,2023/1/2 22:45,IP Address,122.26.104.135,100,53,TRUE,2023/1/2 22:45,R_3MmwfL5zzxr7yOR,,,,,35.4405,139.5549,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1920x1080,RO54921,1887732,54921,1887732,OK
2023/1/2 22:45,2023/1/2 22:46,IP Address,219.104.98.104,100,54,TRUE,2023/1/2 22:46,R_yPaDqKY2ZknPerD,,,,,33.0379,130.4432,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO98327,2810580,98327,2810580,OK
2023/1/2 22:54,2023/1/2 22:55,IP Address,133.32.179.94,100,35,TRUE,2023/1/2 22:55,R_2fBDb0mfq7WRkKL,,,,,34.6947,135.5,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO82274,4696655,82274,4696655,OK
2023/1/2 22:56,2023/1/2 22:57,IP Address,133.32.13.239,100,29,TRUE,2023/1/2 22:57,R_2OPAAAAF0gQIqY8,,,,,34.6947,135.5,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1920x1080,RO17315,4103250,17315,4103250,OK
2023/1/2 22:57,2023/1/2 22:57,IP Address,106.154.144.194,100,44,TRUE,2023/1/2 22:57,R_2OGuaF80Co9XH4h,,,,,35.6918,139.7002,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1280x1024,RO86604,5090304,86604,5090304,OK
2023/1/2 23:05,2023/1/2 23:06,IP Address,115.162.132.241,100,49,TRUE,2023/1/2 23:06,R_2OQ2F7aEc9DmLA2,,,,,33.6184,130.4109,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1280x720,RO37593,2360666,37593,2360666,OK
2023/1/2 23:07,2023/1/2 23:07,IP Address,180.45.27.227,100,24,TRUE,2023/1/2 23:07,R_3EupO5xVSl1UDs2,,,,,34.3927,132.4501,anonymous,JA,Chrome,86.0.4240.198,Windows NT 10.0,2560x1440,RO41773,42040,41773,42040,OK
2023/1/2 23:13,2023/1/2 23:14,IP Address,131.147.232.219,100,46,TRUE,2023/1/2 23:14,R_3JCuGtL21OFMOFe,,,,,35.8376,139.8019,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1536x864,RO51492,1534032,51492,1534032,OK
2023/1/2 23:18,2023/1/2 23:19,IP Address,103.152.154.156,100,35,TRUE,2023/1/2 23:19,R_1dFjCccBFGWcRt0,,,,,23.8468,90.2417,anonymous,JA,Firefox,108,Windows NT 10.0,1366x768,RO50316,120691,50316,120691,OK
2023/1/2 23:19,2023/1/2 23:20,IP Address,119.10.187.59,100,43,TRUE,2023/1/2 23:20,R_SJINNQxfKwpbtbH,,,,,35.1743,136.8931,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1920x1080,RO59397,201371,59397,201371,OK
2023/1/2 23:20,2023/1/2 23:20,IP Address,59.146.193.54,100,23,TRUE,2023/1/2 23:20,R_3lFbY7YIn3rvWkl,,,,,38.4494,140.9262,anonymous,JA,Edge,108.0.1462.54,Windows NT 10.0,1536x864,RO57887,4096953,57887,4096953,OK
2023/1/2 23:21,2023/1/2 23:22,IP Address,138.64.232.199,100,37,TRUE,2023/1/2 23:22,R_3oXUJPltXpO5nmR,,,,,35.179,136.8939,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1440x810,RO55636,2864442,55636,2864442,OK
2023/1/2 23:23,2023/1/2 23:23,IP Address,220.146.123.175,100,20,TRUE,2023/1/2 23:23,R_1q8ooFBrgBmd6mk,,,,,35.6887,139.745,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO70973,3124577,70973,3124577,OK
2023/1/2 23:27,2023/1/2 23:27,IP Address,61.86.162.145,100,32,TRUE,2023/1/2 23:27,R_2V2vOCo0D5Mog7M,,,,,34.7427,135.8204,anonymous,JA,Firefox,108,Windows NT 10.0,1920x1080,RO74909,4758400,74909,4758400,OK
2023/1/2 23:30,2023/1/2 23:31,IP Address,180.191.209.121,100,58,TRUE,2023/1/2 23:31,R_24H6eV2ZVFd2WC6,,,,,15.4805,120.6002,anonymous,JA,Chrome,108.0.0.0,Windows NT 6.1,1366x768,RO80697,4408530,80697,4408530,OK
2023/1/2 23:32,2023/1/2 23:33,IP Address,133.32.217.9,100,27,TRUE,2023/1/2 23:33,R_12hUZPSxZDiiBUf,,,,,35.6918,139.7002,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO13754,3184242,13754,3184242,OK
2023/1/2 23:30,2023/1/2 23:36,IP Address,180.198.30.100,100,337,TRUE,2023/1/2 23:36,R_ReotobQjYJAK6rL,,,,,35.4386,136.7771,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO76525,3312891,76525,3312891,OK
2023/1/2 23:35,2023/1/2 23:36,IP Address,60.40.25.101,100,30,TRUE,2023/1/2 23:36,R_3qpAfGJ8MtQOQjg,,,,,35.5997,140.137,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO38128,776557,38128,776557,OK
2023/1/2 23:42,2023/1/2 23:44,IP Address,126.29.242.42,100,86,TRUE,2023/1/2 23:44,R_2uKk9zGjmLzc8bP,,,,,34.3993,132.4702,anonymous,JA,Chrome,108.0.0.0,Windows NT 6.1,1280x800,RO76736,804422,76736,804422,OK
2023/1/2 23:47,2023/1/2 23:50,IP Address,126.31.222.132,100,139,TRUE,2023/1/2 23:50,R_b3dmWmKcYXYLeP7,,,,,32.7481,129.8816,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1366x768,RO22544,780441,22544,780441,OK
2023/1/2 23:52,2023/1/2 23:53,IP Address,153.189.98.173,100,44,TRUE,2023/1/2 23:53,R_3e3HWxQc1az0PyV,,,,,34.6922,135.1816,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO31246,114735,31246,114735,OK
2023/1/3 0:24,2023/1/3 0:25,IP Address,60.95.193.228,100,52,TRUE,2023/1/3 0:25,R_3ml6cdWse3Tpfs0,,,,,35.179,136.8939,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1360x768,RO98723,178919,98723,178919,OK
2023/1/3 0:26,2023/1/3 0:27,IP Address,218.228.183.135,100,45,TRUE,2023/1/3 0:27,R_2TEPoke4NJaXwus,,,,,34.6947,135.5,anonymous,JA,Chrome,108.0.0.0,Macintosh,1440x900,RO68012,4765315,68012,4765315,OK
2023/1/3 11:39,2023/1/3 11:40,IP Address,59.134.13.197,100,35,TRUE,2023/1/3 11:40,R_1mqKYShrEv00PHf,,,,,37.9022,139.0181,anonymous,JA,Chrome,108.0.0.0,Windows NT 10.0,1920x1080,RO54367,1052834,54367,1052834,OK